disease,symptoms_used,generated_call
Epilepsy,"Paralysis, Arrhythmia, Foaming at the Mouth","Oh god, help! Something's... something's wrong with my husband! Please you gotta help, I don't know... I don't know what to do. He's... he's just collapsed, just now, lying on the floor here. He's not moving, not... not at all. Can't, can't seem to move his body, his arms, legs, nothing. His... his eyes are wide open but he's not moving! 

And god, his heart, I'm... I'm touching his chest and it's beating all... all wrong! It's skipping, it's like bam... bam bam... then nothing for a sec. It's... it's like an awful, crazy drum solo, I can’t... can't even keep count. I've never felt this before, it ain't right... it ain’t right I tell you!

And there's... stuff, some... some white foamy stuff around his mouth. What the hell is that? He's... he's trying to say something but all that's coming out is... is the foam. It's... it's terrifying, like one of those horror movies but... but it's real, you gotta help!

Oh god, what's happening to him? What do I do? Please, you gotta send someone, fast!"
Epilepsy,"Paralysis, Unconsciousness, Confusion","Oh God... shit, I... God... Okay, I need help. Please, my buddy, he just fell over... he was talking... crap, but he's not moving now! He... he was all confused or... or something, talking gibberish, didn't make no sense. Oh God... he seems out cold? I... I don't know... can't wake him up. He's just lying there... not moving, his... his whole body. It's like he can't... he can't move or... or anything. He's not... hasn't opened his eyes. I tried to get him up... but he... he doesn't respond. Shit... I don't know... I don't know what to do. Please, I need help!"
Epilepsy,"Foaming at the Mouth, Unconsciousness, Confusion","Oh God, oh God... please, you gotta send someone... my... I think my husband's really sick or something. He's... he's not awake. I mean, he's... Jesus... he's unconscious, yeah... not responding at all. I've tried shaking him, calling his name, he's just not, you know... Oh God...

He's got this foam thing happening at his mouth, I mean, what the hell... It's like he's rabid or something, it looks... it just looks really bad, you know... it's frothy and stuff. I'm not sure what to do, I just... I just got home and he's just lying there like this. He was just fine this morning. He was normal, nothing weird about him, and now, he's just... like this...

Before he... before I found him on the floor, he was acting weird, you know... He was all over the place, just wandering around the house like he didn't know where he was or something... He was just aimless... like really confused... or dazed, you know... He'd look at me like... like he didn't recognize me... His speech was all garbled, like he's talking in tongues. It scared the hell outta me, I mean... 

Oh God, please... you've gotta send help... I don't... I don't know what to do. I'm not a doctor or anything. I don't understand what's happening to him... He's not... he's not waking up. You gotta send someone here, fast... please..."
Epilepsy,"Unconsciousness, Foaming at the Mouth, Paralysis","Oh God, oh God... I need, I need... hello? You gotta send someone, right now, please. It's, it's my friend. She just... she just collapsed. Unconscious. Shit... okay, she's unconscious. I can't wake her up. Her face... really pale. Like, waxy.

And she's not... she's like, not moving at all. Like literally not at all! She was fine, she was f-fine, and then... just boom on the floor. Limbs... like spaghetti. I tried lifting her arm a bit, but it just kinda d-dropped back down...

There's... oh God, there's something weird in her mouth! Foam, like white bubble stuff. I saw people do this in movies... you know? Turn them onto their side? So I did that...and now she's just... just lying there... not moving... not saying anything... 

I don't know what I am doing. This... this is real bad... this is real real bad... oh fuck, oh fuck, fuck... Please, you gotta send over some help, anyone... I don't know what to do... She... she needs help! Right now! Oh god, please hurry..."
Epilepsy,"Arrhythmia, Burns, Foaming at the Mouth","Oh God, oh God, please, you g-gotta help! I-I don't...ok, listen my...my friend, my buddy, he's in...really bad shape. Just, I—I found him, he's...he's not right...not acting normal. I'm-- I'm really scared. Deep breaths, Gary, de-...deep bre-...

He's...laying on the floor, and he's...he's shaking uncontrollably! You know like...like in the movies, when people...when they have those spasms? It's like that...and his heart...I-I think it's his heart. It's...it's not steady. His chest, it—it's beating weird. I can't...I can't explain it right but it—it's...sounds bad. Hurting bad, maybe. Scaring the life out of me! 

He's got burns...or something. He..he's got these blister-looking things, red and...and ugly. And they're...popping, oh my god...blister-thingies bursting right in front of me. This...this isn't normal, y'know? Not something you find everyday, no siree!

And his mouth...oh god, his mouth! There's...there's foam! Foamy, frothy, kind of stuff...it's...it's pouring from his mouth. Like...like in rabid dogs, or-or something. You...you get what I mean, right?

Please, I'm begging ya! H-he needs help. I don't know what to do. I...I can't— I don't know what's happening. Please, oh please, hurry!"
Epilepsy,"Arrhythmia, Paralysis, Foaming at the Mouth","Oh God, oh God, please, I need help... My friend, there's something wrong, terribly wrong... Her heart, I think, it's um, not... not right. She's got heart... beating weird, like it's racing, then slow, then skipping. That's not normal, right? I... I don't... please send help!

And her body, she... can't move. One side, it's... it’s just not moving. Like completely still, not responding... Damn, I don't know, paralyzed. Is that... is that the word? I... I don't... And her face, it's all scrunched up, she can't talk, only groans... It's freaking scary, I swear.

And... oh no, oh no, there's foam, like, bubbly... God, it's coming out from her mouth, like foam, frothy stuff. That's not right, not right at all... I don't know what to do... Please, you've gotta send help... I... I'm... I don't know any first aid stuff, not for this... Please, I'm beggin' you, just... just get someone here. Quick!"
Epilepsy,"Eye Rolling, Burns, Unconsciousness","Oh God... Help... I need help! It's, it's my friend! I don't... Oh God... she's... I think she's unconscious or somethin'. I don't... Her eyes... they were, they were rollin'... rollin' back in her head like. She ain't responding. She ain't movin'...

I don't know... don't know what's happening. She was fine, and then she... just dropped. Ah, God. We were just trying to... doing a fire trick with... with lighter fluid, you know... and she caught fire, man. She caught fire!

She's got burns, man! Her arms, they're... they're all burnt up. She was screamin' and then she... she just dropped. I put the fire out with the blanket but she ain’t movin' now... ain't even talking...

There's a smell, yeah... a bad smell! I think it's her arm... it's all blistered n stuff. God, it's everywhere... She's not breathing normally. Her eyes, they were... damn it, they were rollin'... I'm scared man... I ain't never seen anything like this.

I don't know what to do! What do I do...? Oh God! Please get someone here soon. I'm at... at... Wait, let me think. It's 22 Maple Street, yeah... that's it... Hurry!  She's hurt real bad, okay? I'm freaking out man, please help! Jesus. You gotta just... come now!"
Drowning,"Unconsciousness, Shortness of Breath, Burns","Oh God...oh God, okay, um, I need an ambulance, I think, oh, please help! My friend – my friend’s passed out, he's not...he's not really breathing right, like he can't catch his breath! When will help get here...? Oh, Jesus, I'm...I’m shaking so bad.

Um...okay, okay, um – we were in the kitchen, right, just fixing up dinner and there was a fire, yeah, a fire! He...he has burns, oh god, on his arms and...and his face...god, what do I do? 

His skin is...is blistered and it's peeling off, oh God, it looks so bad, I'm...I'm going to be sick. He's not waking up either...he just… just went limp and fell like a bag of stones, can't seem to...seem to rouse him. 

Oh man, he's just lying there, making these… weird noises, like...like he can't breathe right, sounds like a damn windbag with a hole, y'know? Can't...can't get enough air in, it's like he's...he's drowning on dry land! 

Okay...okay, I've got to stay with him...stay with him until you get here, right? Just...just help's on the way, right? He's...he's going to be okay, right?! Ok. Okay, So...so what do I do now? Do I...do I move him or something? Would that...would that help him? I don't...I don't know what to do. Please...please just get here fast, please!"
Fainting,"Unconsciousness, Arrhythmia, Paleness","Oh god... oh my god. I need help, something’s happening... I'm freaking out here! It's my husband... he's not responsive! I can't wake him up... I've been shaking him, he's not waking up! Jesus... He's just... he doesn't... God, he's all pale, he's so pale! It’s like... he's not getting any breath. 

Just listen, please listen... it's not normal. He was fine a second ago, I swear. We were sitting, watching the TV, just a normal night and BOOM! He just keeled over. Damn... it's like... his color's all gone! I'm not, uh, I'm not a nurse or anything but... His heart is... it's not right, not regular. It’s beating all erratic, you know? Not slow-fast, slow-fast like it should be, never heard it like that. 

My husband is not breathing right, he’s not waking, his heart is all fast and weird, and he’s so damn pale. Oh god, what do I do? What do I do? You’ve gotta get somebody here, like now! I can't lose him... not like this. No, no, no... Help us, please!"
Fainting,"Unconsciousness, Arrhythmia, Paleness","Uh— H— Hello? I— I need help… I'm— [wheezing] I'm having trouble— uh, breathing, and— it's— it's like my chest… [coughing] My chest is on fire… and [sniffles] —I feel so… I feel so weak…

I— uh, I've been feeling so hot, like I've got a— a fever, I guess… [sobs] And… and I just can't seem to get enough air in [gasping]. My head's spinning, and… and I keep coughing… [coughing] Can— can somebody please help me?"
Fainting,"Paleness, Dizziness, Unconsciousness","Oh god— I— [breathing heavily] I need help! There— there's this terrible pounding in my head— like a drill going off. And no, no it's not just a headache! I— I can't even see properly. Everything's— everything's blurry, like looking through fogged-up glasses. 

My whole body's shaking— like— [sobbing] like I'm freezing but it's not even cold. I can't— [coughing] I can't even catch my breath. Feels— feels like I ran a marathon but I've just been lying here. I— [sighs] I don't know what's happening— Help! I need— [coughing] need help! [sirens in distance]"
Fainting,"Dizziness, Unconsciousness, Paleness","I— I just, I dunno what to... (sobbing) my husband... he's... he's disoriented— [gasping] bad. He keeps repeating stuff, like he can't remember— what he, um, what he just said. His face— [whispering] it's all droopy on one side. He— he tried to hold a glass and— and his hand, his hand just kept shaking, like, like really bad. [crying] Please, I— I don't know what's happening to him. [heavy breathing] His hands— they're so cold. It's, uh, his— his breathing. It's... it's shallow. Please, someone help... [coughing] I can't— [sobbing] I can't lose him."
Fainting,"Arrhythmia, Unconsciousness, Paleness","H— Hello? [sobs] I— I need help— [gasping] she's um, she's really uh— oh God, she's so sick. [cries] S—she's sweating, just drenched and so, so hot like a—a fever, but freezing at the same time. Sh—she's shaking—can't stop, won't stop, and then [whispers], oh God, then there's the bouts of intense coughing, like she can't breathe. [sirens in distance] I—I thought it was just a cold or som—something, but this is— I don't know what this is. Please—hurry."
Fainting,"Unconsciousness, Arrhythmia, Paleness","I— I can't— [gasping] I can't breathe, you gotta— gotta send someone— I don't know what’s [coughing] happening… my chest it— [sighs] It feels… feels real heavy. Like I— I've got a tonne sitting on it. There, there's— [heavy breathing] there's pain. Sharp, jabbing. Hot. Can't hardly move. Feels like I—I've run a marathon or— [wheezing] something. Oh, God - and… and it's so hot. Skin’s burning up, but— but I’m shaking like— like I've got chills, you know? I— I've never felt anything like it. Please… [sobbing] I need help… I’m scared.

Ugh, and my—my skin, it— [heavy breathing] it's not right. Almost… almost like a sunburn. [sobs] Hurts to touch. I— I don't— I can't… [whispering] I can't make sense of it… Please. Send help. [sighs] Send help now. I need help now. [sobbing]"
Fainting,"Paleness, Dizziness, Unconsciousness","I— I need help here. Uh, [breathing heavily] he just— he just collapsed. He was fine, and then— and then he just wasn’t. He’s just lying there and—[sobbing] I don't know what to do. [crying] He’s— I don’t know… he’s so hot to touch. I— [sniffles] feels like he's burning up from the inside. And h-he’s got this rash, it’s all over him— [crying] it’s red and, and, and itchy. [whispering] I don't understand how it happened so fast...

And— and he’s not breathing well either. [wheezing] It’s like he’s struggling for every breath. And a minute ago, he was just— he was just fine. I— [gasping] I need someone to come… [sirens in distance] oh God, please hurry up, I can’t handle this…"
Fainting,"Unconsciousness, Arrhythmia, Paleness","I— I can't believe—uh— this is happening. I— um— [whispering] I've got this really bad headache— it's pounding like a jackhammer. The room keeps—um— swaying and spinning around me, like— like I'm on a carousel, and I just can't get off. [breathing heavily] My throat feels—uh— scratchy and dry, like I swallowed a handful of sand. And I— I [sobs] feel so cold, even though I'm sweating—like—like an ice cube in a sauna. [sirens in distance] Can someone—uh—help me? Please?"
Fainting,"Paleness, Dizziness, Unconsciousness","Oh, God! I— I need help. I— I can't breathe— [wheezing] —so well, and I'm— I'm just so dizzy all of a sudden, I feel like I'm gonna pass out. It's— [coughing] —it's like I've run a marathon— [gasping] —without even moving!  Uh— I'm burning up too— feels like I'm on fire! And I— I didn't do anything, I swear, just sitting here, then— this. Oh [whispering], I'm scared... [sirens in distance]

I can barely stand up and— [breathing heavily] —I can't shake this terrible headache... It's like— like— [crying] —a drum, pounding in my head! And my chest— [gasping] —it's like— like something's crushing it... I feel nauseous and— and everything hurts... like— [sobbing] —I just— I need help... now."
Fainting,"Dizziness, Unconsciousness, Paleness","I— I— oh god, I need help— I— [breathing heavily] I think I'm gonna pass out... I've been feeling really weak lately and it's just getting worse, I... I can barely stand up... [coughing] and I— I'm coughing so much it's... feels like my lungs are on fire... I can't... can't even... remember the last time I was able to actually eat something. My throat... hurts so much. And I have this— this pounding headache... [whispering] like my head's about to explode... 

Oh god, and— and... I'm freezing then boiling up every other second [gasping]... And I can't breathe, I— [wheezing] — hypo-betac... feeling short of breath... I— I don't know what's happening... [sighs] Just... just please, hurry..."
Fainting,"Arrhythmia, Unconsciousness, Paleness","I— I, uh— I need help— [breathing heavily] it's my dad— he's— he's just not himself. He— uh, he's shivering like crazy and his skin is all, uh, pale and clammy— kinda looks like— like wax, [choked sob]. And then— and then there's his breathing— [heavy sigh] it's shallow and— and so quick— it's just unnerving— not like him at all. Uh, and he's— he's just so weak he could barely stand— oh god— [crying] please, he needs help."
Fainting,"Burns, Unconsciousness, Arrhythmia","Oh, God— I need help— [breathing heavily] my husband. He's— [voice trembling] he's just collapsed. He was fine earlier but then, uh, he started to feel funny. Felt all weak and dizzy, just not himself you know? And he was all sweaty too. And cold. So cold. [whispers] I don't understand… 

Please hurry. Oh God, now he's starting to— [gasping] Oh, it's bad, so bad. He's shaking and coughing— [coughing sound]. His breathing, it's weird. Too slow, too shallow... [stifled sob] I'm really scared, you guys gotta come ASAP. I don't know what's going on and I— I don't— [pause, voice breaking] I really don't know what to do."
Fainting,"Unconsciousness, Dizziness, Arrhythmia","Oh God— I— I need help. My brother— [coughs] he's in trouble. He's got this intense— this headache that won't let up. And he's been so—it's like riding a roller coaster with his body temperature. One minute he's freezing [shivering sound]— the next it's like a heatwave. I've tried to— to keep him cool, but his skin's so hot to the touch [audible worry]. And that's not all— there's this unpredictable—uh, this—this chest pain that comes and goes. He's having difficulty [gasping]— difficulty breathing too. He's so weak, can barely keep his eyes open [crying]. I don’t… [sobs]… I don't know what to do. Please— [whispering] please, help him."
Fainting,"Arrhythmia, Unconsciousness, Paleness","I— I need help. I don't know what's— [wheezing] what's happening... [gasping] My chest, it's just— it's so tight and it— it hurts. And my head, my head is pounding so bad, it's like— it's like a hammer is smashing into it, over and over... [crying] I've been coughing too, really bad, and— [coughs] oh God, it's just so hard to breathe... And I'm so cold, I can't stop shivering. Please, you've gotta help me..."
Fainting,"Dizziness, Burns, Unconsciousness","Oh my god— uh… I— I need help over here, I don't— I don't know what's going on! He's, uh… he's— [gasping] he's shaking like crazy and uh… keep screaming about, uh, lights… Lights in his eyes? But, but there’s— there’s no light. He's talking gibberish, incoherent — things that don't make any sense. And uh… [crying] he can't remember my name, oh god, he— he doesn’t recognize me… 

And now, um… um… he's— [wheezing] it seems like he can't breathe properly. And no, no it’s not… he’s not asthmatic or something. [breathing heavily] His skin is… is hot like fire, um, but soaked in sweat, and he just won’t— won’t stop shaking. [sirens in distance] So uh… Please, I— I need you to come quickly."
Fainting,"Burns, Paleness, Unconsciousness","Uh— uhm... I’m not— [gasping] I’m not sure w-what’s going on— I just... [sobbing] I can't breathe properly, and it’s not— it’s not just that. I— I keep coughing... and my chest— my chest feels so tight, like it's— it's gonna explode... [heavy breathing] I'm drenched in sweat and— and having trouble staying awake… I— 

My heart— [gasping] it’s racing so fast, it's hard to... to keep up. And the fever's got me sh-shaking... and that's not all, I— [coughing] I've got a terrible headache and... I'm nauseous... The room— it keeps spinning around me... I need help... [sirens in distance]."
Fainting,"Dizziness, Burns, Arrhythmia","Oh— oh God. I— I… he— [breathing heavily] he just— he won't stop shaking... [whispering] it's like he can't control his own body... he's so weak. [crying] I— I don't— he can't even stand up anymore. Keeps stumbling— falling over. P—please, I need— he needs help! [gasping] He can't— he's not eating— hasn't eaten in days— and— and he's so hot... like a— a furnace... Oh God, please help him, I don’t know what to do… [sobbing] What's happening to him?"
